antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
frozenset({'construction.tools.drill'}),frozenset({'construction.tools.saw'}),0.020172910662824207,0.01585014409221902,0.011527377521613832,0.5714285714285714,36.051948051948045,1.0,0.011207633980848607,2.2963496637848224,0.9922794117647059,0.47058823529411764,0.5645262497385484,0.6493506493506493,construction.tools.drill,construction.tools.saw
frozenset({'construction.tools.saw'}),frozenset({'construction.tools.drill'}),0.01585014409221902,0.020172910662824207,0.011527377521613832,0.7272727272727272,36.051948051948045,1.0,0.011207633980848607,3.5926993275696435,0.9879209370424596,0.47058823529411764,0.7216577540106951,0.6493506493506493,construction.tools.saw,construction.tools.drill
frozenset({'furniture.bedroom.bed'}),frozenset({'furniture.living_room.cabinet'}),0.027377521613832854,0.03602305475504323,0.01440922190201729,0.5263157894736842,14.610526315789473,1.0,0.01342299994186481,2.0350624399615755,0.9577777777777778,0.29411764705882354,0.5086145857918338,0.4631578947368421,furniture.bedroom.bed,furniture.living_room.cabinet
frozenset({'furniture.living_room.cabinet'}),frozenset({'furniture.bedroom.bed'}),0.03602305475504323,0.027377521613832854,0.01440922190201729,0.39999999999999997,14.610526315789471,1.0,0.01342299994186481,1.621037463976945,0.9663677130044842,0.29411764705882354,0.3831111111111111,0.4631578947368421,furniture.living_room.cabinet,furniture.bedroom.bed
frozenset({'auto.accessories.alarm'}),frozenset({'auto.accessories.videoregister'}),0.02881844380403458,0.03170028818443804,0.012968299711815562,0.45,14.195454545454545,1.0,0.012054746738200632,1.7605449305737488,0.9571381470491263,0.2727272727272727,0.43199404761904764,0.42954545454545456,auto.accessories.alarm,auto.accessories.videoregister
frozenset({'auto.accessories.videoregister'}),frozenset({'auto.accessories.alarm'}),0.03170028818443804,0.02881844380403458,0.012968299711815562,0.40909090909090906,14.195454545454545,1.0,0.012054746738200632,1.6435380181777877,0.9599867724867724,0.2727272727272727,0.3915565147019152,0.42954545454545456,auto.accessories.videoregister,auto.accessories.alarm
frozenset({'auto.accessories.player'}),frozenset({'electronics.audio.subwoofer'}),0.059077809798270896,0.04755043227665706,0.03170028818443804,0.5365853658536586,11.284552845528456,1.0,0.028891112790572136,2.0552859092977402,0.9686064318529862,0.423076923076923,0.5134496882033874,0.6016260162601625,auto.accessories.player,electronics.audio.subwoofer
frozenset({'electronics.audio.subwoofer'}),frozenset({'auto.accessories.player'}),0.04755043227665706,0.059077809798270896,0.03170028818443804,0.6666666666666666,11.284552845528454,1.0,0.028891112790572136,2.8227665706051868,0.9568835098335856,0.423076923076923,0.6457376212353241,0.6016260162601625,electronics.audio.subwoofer,auto.accessories.player
frozenset({'apparel.shoes'}),frozenset({'apparel.shoes.keds'}),0.08213256484149856,0.0792507204610951,0.03890489913544669,0.4736842105263158,5.977033492822967,1.0,0.03239583419844032,1.7494236311239195,0.9072039072039072,0.31764705882352945,0.4283831644839799,0.48229665071770333,apparel.shoes,apparel.shoes.keds
frozenset({'apparel.shoes.keds'}),frozenset({'apparel.shoes'}),0.0792507204610951,0.08213256484149856,0.03890489913544669,0.4909090909090909,5.977033492822967,1.0,0.03239583419844032,1.8029538904899138,0.9043644583550686,0.31764705882352945,0.44535464535464536,0.48229665071770333,apparel.shoes.keds,apparel.shoes
frozenset({'computers.desktop'}),frozenset({'computers.notebook'}),0.06340057636887608,0.08789625360230548,0.021613832853025938,0.34090909090909094,3.878539493293592,1.0,0.01604115971397487,1.3838815462585712,0.7924102564102565,0.16666666666666669,0.2773948010914836,0.2934053651266766,computers.desktop,computers.notebook
frozenset({'computers.notebook'}),frozenset({'computers.desktop'}),0.08789625360230548,0.06340057636887608,0.021613832853025938,0.2459016393442623,3.8785394932935913,1.0,0.01604115971397487,1.2420122791630122,0.8136914165350185,0.16666666666666669,0.1948549810844893,0.2934053651266766,computers.notebook,computers.desktop
frozenset({'appliances.kitchen.washer'}),frozenset({'appliances.kitchen.refrigerators'}),0.06051873198847262,0.07060518731988473,0.01585014409221902,0.2619047619047619,3.7094266277939747,1.0,0.01157720768381101,1.2591800687924142,0.7774679308421639,0.1375,0.20583241048357329,0.24319727891156462,appliances.kitchen.washer,appliances.kitchen.refrigerators
frozenset({'appliances.kitchen.refrigerators'}),frozenset({'appliances.kitchen.washer'}),0.07060518731988473,0.06051873198847262,0.01585014409221902,0.22448979591836735,3.7094266277939747,1.0,0.01157720768381101,1.2114363719096013,0.7859055673009161,0.1375,0.17453361712783272,0.24319727891156462,appliances.kitchen.refrigerators,appliances.kitchen.washer
frozenset({'electronics.smartphone'}),frozenset({'electronics.telephone'}),0.2377521613832853,0.023054755043227664,0.01729106628242075,0.07272727272727274,3.154545454545455,1.0,0.011809748440731176,1.0535684014239701,0.8960302457466919,0.07100591715976332,0.0508447304907482,0.41136363636363643,electronics.smartphone,electronics.telephone
frozenset({'electronics.telephone'}),frozenset({'electronics.smartphone'}),0.023054755043227664,0.2377521613832853,0.01729106628242075,0.7500000000000001,3.1545454545454548,1.0,0.011809748440731176,3.04899135446686,0.6991150442477876,0.07100591715976332,0.6720226843100192,0.41136363636363643,electronics.telephone,electronics.smartphone
frozenset({'electronics.video.tv'}),frozenset({'appliances.kitchen.washer'}),0.069164265129683,0.06051873198847262,0.010086455331412104,0.14583333333333331,2.409722222222222,1.0,0.005900721706849156,1.0998805088915442,0.6284829721362228,0.08433734939759036,0.09081032719836397,0.15625,electronics.video.tv,appliances.kitchen.washer
frozenset({'appliances.kitchen.washer'}),frozenset({'electronics.video.tv'}),0.06051873198847262,0.069164265129683,0.010086455331412104,0.16666666666666666,2.409722222222222,1.0,0.005900721706849156,1.1170028818443805,0.6226993865030674,0.08433734939759036,0.1047471620227038,0.15625,appliances.kitchen.washer,electronics.video.tv
frozenset({'electronics.smartphone'}),frozenset({'electronics.tablet'}),0.2377521613832853,0.020172910662824207,0.010086455331412104,0.04242424242424242,2.103030303030303,1.0,0.005290302219933726,1.0232371502571773,0.6880907372400757,0.04069767441860465,0.022709447415329764,0.27121212121212124,electronics.smartphone,electronics.tablet
frozenset({'electronics.tablet'}),frozenset({'electronics.smartphone'}),0.020172910662824207,0.2377521613832853,0.010086455331412104,0.5,2.103030303030303,1.0,0.005290302219933726,1.5244956772334293,0.5352941176470589,0.04069767441860465,0.3440453686200378,0.27121212121212124,electronics.tablet,electronics.smartphone
frozenset({'electronics.clocks'}),frozenset({'electronics.audio.headphone'}),0.09510086455331412,0.08069164265129683,0.01585014409221902,0.16666666666666666,2.0654761904761902,1.0,0.008176299113853615,1.1031700288184438,0.5700636942675159,0.0990990990990991,0.093521421107628,0.18154761904761904,electronics.clocks,electronics.audio.headphone
frozenset({'electronics.audio.headphone'}),frozenset({'electronics.clocks'}),0.08069164265129683,0.09510086455331412,0.01585014409221902,0.19642857142857142,2.0654761904761902,1.0,0.008176299113853615,1.126096701889209,0.561128526645768,0.0990990990990991,0.11197679708826205,0.18154761904761904,electronics.audio.headphone,electronics.clocks
frozenset({'electronics.clocks'}),frozenset({'electronics.smartphone'}),0.09510086455331412,0.2377521613832853,0.0446685878962536,0.46969696969696967,1.9755739210284664,1.0,0.022058151799284106,1.4373816385343763,0.5457160468461064,0.155,0.3042905424757977,0.32878787878787874,electronics.clocks,electronics.smartphone
frozenset({'electronics.smartphone'}),frozenset({'electronics.clocks'}),0.2377521613832853,0.09510086455331412,0.0446685878962536,0.18787878787878787,1.9755739210284664,1.0,0.022058151799284106,1.1142414727515162,0.647844380754924,0.155,0.10252846940745028,0.32878787878787874,electronics.smartphone,electronics.clocks
frozenset({'electronics.audio.headphone'}),frozenset({'electronics.smartphone'}),0.08069164265129683,0.2377521613832853,0.03170028818443804,0.39285714285714285,1.6523809523809523,1.0,0.01251567573852453,1.2554670283098828,0.42946708463949845,0.11055276381909547,0.2034836618957602,0.2630952380952381,electronics.audio.headphone,electronics.smartphone
frozenset({'electronics.smartphone'}),frozenset({'electronics.audio.headphone'}),0.2377521613832853,0.08069164265129683,0.03170028818443804,0.13333333333333333,1.6523809523809523,1.0,0.01251567573852453,1.0607404123254267,0.5179584120982987,0.11055276381909547,0.05726227795193312,0.2630952380952381,electronics.smartphone,electronics.audio.headphone
frozenset({'electronics.smartphone'}),frozenset({'electronics.video.tv'}),0.2377521613832853,0.069164265129683,0.020172910662824207,0.08484848484848484,1.2267676767676765,1.0,0.003728957137755482,1.0171383857854457,0.24250607615446929,0.07035175879396985,0.016849610657660177,0.18825757575757573,electronics.smartphone,electronics.video.tv
frozenset({'electronics.video.tv'}),frozenset({'electronics.smartphone'}),0.069164265129683,0.2377521613832853,0.020172910662824207,0.29166666666666663,1.2267676767676765,1.0,0.003728957137755482,1.0761145956941853,0.19858469703670933,0.07035175879396985,0.07073093887838684,0.18825757575757573,electronics.video.tv,electronics.smartphone
frozenset({'electronics.smartphone'}),frozenset({'computers.notebook'}),0.2377521613832853,0.08789625360230548,0.021613832853025938,0.09090909090909091,1.0342771982116246,1.0,0.0007163085815844322,1.003314121037464,0.043478260869565175,0.07109004739336493,0.0033031739192876646,0.1684053651266766,electronics.smartphone,computers.notebook
frozenset({'computers.notebook'}),frozenset({'electronics.smartphone'}),0.08789625360230548,0.2377521613832853,0.021613832853025938,0.2459016393442623,1.0342771982116243,1.0,0.0007163085815844322,1.010806916426513,0.036334913112164254,0.07109004739336493,0.010691375623663563,0.1684053651266766,computers.notebook,electronics.smartphone
